aykhan101,Mahabharata Bhagavad Gita,Unknown,No rating,No review,Started,0,2022.2.2.,20202,Add rating,Add review
aykhan101,The Peloponesian War,Thucydides,No rating,No review,Not Started,0,N/A,N/A,Add rating,Add review
aykhan101,Ayxanin heyati,Unknown,No rating,No review,Not started,0,,,Add rating,Add review
transsebis,ux,se,bis,pet,Not Started,0,N/A,N/A,Add rating,Add review
user555,Bachants,Euripides,No rating,No review,Not Started,0,N/A,N/A,Add rating,Add review
user555,Crowds and Power,Elias Canetti,No rating,No review,Not Started,0,N/A,N/A,Add rating,good
user555,Plays,Sophocles,No rating,No review,Started,0,N/A,N/A,ating,Add review
user555,Poetics,Aristotle,No rating,No review,Started,0,N/A,N/A,Add rating,that is too good
user555,De Anima,Aristotle,No rating,No review,Not Started,0,N/A,N/A,Add rating,good
user555,Georgics,Virgil,No rating,No review,Not Started,0,,N/A,Add rating,good
user555,Mahabharata Bhagavad Gita,Unknown,No rating,No review,Not Started,0,N/A,N/A,Add rating,That is good book
rahmankarimov,Illiad,Homer,No rating,No reviews,Not Started,0,N/A,N/A,Add rating,Add review
rahmankarimov,De Anima,Aristotle,No rating,user555,Not Started,0,N/A,N/A,Add rating,Add review
rahmankarimov,On The Nature of Things,Lucretius,No rating,No reviews,Not Started,0,N/A,N/A,7/10,The book shows its best . I liked that one. Thanks for writing this book
